degree,l2_norm,n_computed_points,n_theoretical_points,n_successful_recoveries,success_rate,min_min_success_rate,runtime_seconds,converged
2,8.395435433874454,1,25,0,0.0,0.0,17.230844020843506,false
3,4.752292591358598,4,25,0,0.0,0.0,2.1431570053100586,false
4,2.2243530615784732,25,25,1,0.04,0.1111111111111111,1.6668040752410889,false
5,1.0313662492207112,4,25,1,0.04,0.1111111111111111,1.924856185913086,false
6,0.3132710891374498,25,25,1,0.04,0.1111111111111111,2.8401918411254883,false
