degree,l2_norm,n_computed_points,n_theoretical_points,n_successful_recoveries,success_rate,min_min_success_rate,runtime_seconds,converged
2,8.395435433874454,1,25,0,0.0,0.0,0.020273923873901367,false
3,4.752292591358598,4,25,0,0.0,0.0,0.03659796714782715,false
4,2.2243530615784732,25,25,1,0.04,0.1111111111111111,0.08509516716003418,false
5,1.0313662492207112,4,25,1,0.04,0.1111111111111111,0.1576061248779297,false
6,0.3132710891374498,25,25,1,0.04,0.1111111111111111,0.3657050132751465,false
