subdomain,attempt,degree,l2_norm,n_computed_points,n_theoretical_points,success_rate,min_min_success_rate,runtime_seconds,converged
1010,1,2,5.488784854130084,1,9,0.0,0.0,0.0196378231048584,false
1010,2,3,1.7505742039993517,4,9,0.1111111111111111,1.0,0.04317808151245117,false
1010,3,4,0.4462999426986868,1,9,0.0,0.0,0.061987876892089844,false
1010,4,5,0.10010448651425592,1,9,0.1111111111111111,1.0,0.17202997207641602,false
1010,5,6,0.018275016451681093,1,9,0.1111111111111111,1.0,0.4136688709259033,false
