degree,l2_norm,n_computed_points,n_theoretical_points,n_successful_recoveries,success_rate,min_min_success_rate,runtime_seconds,converged
2,8.395435433874454,1,25,0,0.0,0.0,16.25752305984497,false
3,4.752292591358598,4,25,0,0.0,0.0,2.166814088821411,false
4,2.2243530615784732,25,25,1,0.04,0.1111111111111111,1.559108018875122,false
5,1.0313662492207112,4,25,1,0.04,0.1111111111111111,1.8373520374298096,false
6,0.3132710891374498,25,25,1,0.04,0.1111111111111111,2.858375072479248,false
