theoretical_point_id,type,x1,x2,x3,x4,d3,d4,d5,d6
TP_001,saddle,0.507030772828217,-0.917350578608486,0.507030772828217,-0.917350578608486,0.45791441532324395,0.4237899165023202,0.4263750211034138,0.43386331791640276
TP_002,saddle,0.507030772828217,-0.917350578608486,0.74115190368376,-0.741151903683748,0.3397166409722665,0.32130030304414947,0.30426740473015973,0.31235856232643866
TP_003,saddle,0.507030772828217,-0.917350578608486,0.917350578608475,-0.50703077282823,0.4579144153232253,0.4237899165022944,0.42637502110339526,0.43386331791638166
TP_004,saddle,0.74115190368376,-0.741151903683748,0.507030772828217,-0.917350578608486,0.33971664097226495,0.32130030304415397,0.3042674047301636,0.31235856232644404
TP_005,min,0.74115190368376,-0.741151903683748,0.74115190368376,-0.741151903683748,0.14535879934193952,0.16392033474674195,0.05797972526253842,0.08305639219140887
TP_006,saddle,0.74115190368376,-0.741151903683748,0.917350578608475,-0.50703077282823,0.3397166409722398,0.32130030304412,0.30426740473013764,0.31235856232641473
TP_007,saddle,0.917350578608475,-0.50703077282823,0.507030772828217,-0.917350578608486,0.4579144153232229,0.4237899165023049,0.42637502110339875,0.4338633179163876
TP_008,saddle,0.917350578608475,-0.50703077282823,0.74115190368376,-0.741151903683748,0.33971664097223814,0.3213003030441294,0.3042674047301387,0.3123585623264176
TP_009,saddle,0.917350578608475,-0.50703077282823,0.917350578608475,-0.50703077282823,0.4579144153232043,0.4237899165022792,0.42637502110338027,0.4338633179163665
AVERAGE,-,NaN,NaN,NaN,NaN,0.3706536693915384,0.34936457921472147,0.33117215873296957,0.34088265701807363
