subdomain,degree,point_type,n_theoretical,n_computed,n_matched,avg_f_theoretical,avg_f_computed,min_f_theoretical,min_f_computed,avg_relative_error,max_relative_error,median_relative_error
1100,7,saddle,3,4,3,0.37805971499305396,0.39022272986603307,0.28354478624479046,0.30265815924513584,0.045960519099814495,0.06740865615439591,0.06740865615439101
1100,7,min,1,4,1,5.51503752196489e-27,0.039964447382449295,5.51503752196489e-27,0.039964447382449295,0.039964447382449295,0.039964447382449295,0.039964447382449295
