theoretical_point_id,type,x1,x2,x3,x4,d3,d4,d5,d6,d7,d8
TP_001,saddle,0.507030772828217,-0.917350578608486,0.507030772828217,-0.917350578608486,0.45791441532324395,0.42378991650232,0.4263750211034139,0.43386331791640276,0.43750080808555875,0.4371862435225206
TP_002,saddle,0.507030772828217,-0.917350578608486,0.74115190368376,-0.741151903683748,0.3397166409722665,0.32130030304414936,0.30426740473015973,0.31235856232643866,0.31640227568910995,0.31605047751134546
TP_003,saddle,0.507030772828217,-0.917350578608486,0.917350578608475,-0.50703077282823,0.4579144153232253,0.4237899165022945,0.42637502110339515,0.43386331791638166,0.43750080808551084,0.4371862435224684
TP_004,saddle,0.74115190368376,-0.741151903683748,0.507030772828217,-0.917350578608486,0.33971664097226495,0.32130030304415375,0.3042674047301637,0.31235856232644404,0.3164022756891323,0.3160504775113726
TP_005,min,0.74115190368376,-0.741151903683748,0.74115190368376,-0.741151903683748,0.14535879934193952,0.1639203347467419,0.05797972526253842,0.08305639219140887,0.09388206989086012,0.09297309903936424
TP_006,saddle,0.74115190368376,-0.741151903683748,0.917350578608475,-0.50703077282823,0.3397166409722398,0.32130030304412005,0.30426740473013747,0.31235856232641473,0.3164022756890661,0.3160504775113004
TP_007,saddle,0.917350578608475,-0.50703077282823,0.507030772828217,-0.917350578608486,0.4579144153232229,0.42378991650230485,0.42637502110339887,0.4338633179163876,0.437500808085541,0.4371862435225048
TP_008,saddle,0.917350578608475,-0.50703077282823,0.74115190368376,-0.741151903683748,0.33971664097223814,0.32130030304412943,0.3042674047301387,0.3123585623264176,0.3164022756890854,0.31605047751132365
TP_009,saddle,0.917350578608475,-0.50703077282823,0.917350578608475,-0.50703077282823,0.4579144153232043,0.4237899165022793,0.4263750211033801,0.4338633179163665,0.4375008080854931,0.4371862435224526
AVERAGE,-,NaN,NaN,NaN,NaN,0.3706536693915384,0.3493645792147214,0.33117215873296957,0.34088265701807363,0.3454993783321509,0.3451022203527392
