degree,avg_l2_norm,total_computed_points,minimizers_recovered,recovery_rate,min_distance,median_distance,mean_distance,max_distance,q25_distance,q75_distance,points_near_minimizers,spurious_points
2,7.223153316126287,16,1,11.11111111111111,0.03476304587366669,0.28381412581703,0.30772018800880185,0.3998655357343922,0.2838141258169827,0.3998655357343861,1,8
3,2.723989594085569,25,4,44.44444444444444,0.03357430978303807,0.10549031904288114,0.07795747940507165,0.14535879934193946,0.03357430978304419,0.10549031904288317,4,5
4,0.8250086074387677,36,4,44.44444444444444,0.031081934616187898,0.11797449470747137,0.08446067244905041,0.16392033474674178,0.03108193461619812,0.11797449470748468,4,5
