degree,n_computed,min_distance,median_distance,mean_distance,max_distance,n_captured,capture_rate
2,16,0.03476304587366669,0.28381412581703,0.213354007764452,0.3998655357343922,9,36.0
3,25,0.03357430978303807,0.2729601542732789,0.2234541974441291,0.3845611230537914,4,16.0
4,36,0.031081934616187898,0.29087397801326853,0.23908987433331014,0.41018197853033306,4,16.0
