subdomain,attempt,degree,l2_norm,n_computed_points,n_theoretical_points,success_rate,min_min_success_rate,runtime_seconds,converged
1010,1,2,5.488784854130084,1,9,0.0,0.0,0.019949913024902344,false
1010,2,3,1.7505742039993517,4,9,0.1111111111111111,1.0,0.031690120697021484,false
1010,3,4,0.4462999426986868,1,9,0.0,0.0,0.0865180492401123,false
1010,4,5,0.10010448651425592,1,9,0.1111111111111111,1.0,0.13901495933532715,false
1010,5,6,0.018275016451681093,1,9,0.1111111111111111,1.0,0.3917419910430908,false
