subdomain,degree,point_type,n_theoretical,n_computed,n_matched,avg_f_theoretical,avg_f_computed,min_f_theoretical,min_f_computed,avg_relative_error,max_relative_error,median_relative_error
1111,7,saddle,3,4,3,0.37805971499305396,0.3902227298660333,0.28354478624479046,0.30265815924513473,0.04596051909981234,0.0674086561543963,0.0674086561543871
1111,7,min,1,4,1,6.1065722673158524e-27,0.039964447382445936,6.1065722673158524e-27,0.039964447382445936,0.039964447382445936,0.039964447382445936,0.039964447382445936
