Degree,Min_Captured,Avg_Rel_Error,Max_Error,Saddle_Captured,Avg_Error_Saddle,Max_Error_Saddle
3,4/9,4.201%,4.2e-02,0/16,-,-
4,4/9,2.627%,2.6e-02,0/16,-,-
