theoretical_point_id,type,x1,x2,x3,x4,d3,d4
TP_001,saddle,0.507030772828217,-0.917350578608486,0.507030772828217,-0.917350578608486,0.457914415323244,0.4237899165023199
TP_002,saddle,0.507030772828217,-0.917350578608486,0.74115190368376,-0.741151903683748,0.3397166409722665,0.32130030304414925
TP_003,saddle,0.507030772828217,-0.917350578608486,0.917350578608475,-0.50703077282823,0.4579144153232253,0.42378991650229436
TP_004,saddle,0.74115190368376,-0.741151903683748,0.507030772828217,-0.917350578608486,0.33971664097226506,0.32130030304415375
TP_005,min,0.74115190368376,-0.741151903683748,0.74115190368376,-0.741151903683748,0.14535879934193957,0.1639203347467419
TP_006,saddle,0.74115190368376,-0.741151903683748,0.917350578608475,-0.50703077282823,0.3397166409722398,0.32130030304412005
TP_007,saddle,0.917350578608475,-0.50703077282823,0.507030772828217,-0.917350578608486,0.45791441532322297,0.423789916502305
TP_008,saddle,0.917350578608475,-0.50703077282823,0.74115190368376,-0.741151903683748,0.3397166409722382,0.32130030304412954
TP_009,saddle,0.917350578608475,-0.50703077282823,0.917350578608475,-0.50703077282823,0.45791441532320426,0.4237899165022795
AVERAGE,-,NaN,NaN,NaN,NaN,0.37065366939153843,0.34936457921472147
