subdomain,degree,point_type,n_theoretical,n_computed,n_matched,avg_f_theoretical,avg_f_computed,min_f_theoretical,min_f_computed,avg_relative_error,max_relative_error,median_relative_error
1011,5,saddle,5,4,1,0.3969627007427067,0.36104255166172705,0.28354478624479046,0.36104255166172705,0.36334122654254863,0.36334122654254863,0.36334122654254863
1011,5,min,1,4,1,3.828588492070452e-27,0.09046740751103219,3.828588492070452e-27,0.09046740751103219,0.09046740751103219,0.09046740751103219,0.09046740751103219
