subdomain,computed_points,has_minimizer,found_minimizer,min_distance,accuracy
0000,4,true,true,0.028665448754264383,100.0
0001,2,false,false,NaN,0.0
0010,4,true,true,0.045734869048698036,100.0
0011,4,true,true,0.0286654487542571,100.0
0100,2,false,false,NaN,0.0
0101,1,false,false,NaN,0.0
0110,2,false,false,NaN,0.0
0111,2,false,false,NaN,0.0
1000,4,true,true,0.0457348690486888,100.0
1001,2,false,false,NaN,0.0
1010,4,true,true,0.05797972526253842,100.0
1011,4,true,true,0.04573486904868738,100.0
1100,4,true,true,0.02866544875425787,100.0
1101,2,false,false,NaN,0.0
1110,4,true,true,0.04573486904869532,100.0
1111,4,true,true,0.028665448754250283,100.0
