degree,avg_l2_norm,total_computed_points,minimizers_recovered,recovery_rate,min_distance,median_distance,mean_distance,max_distance,q25_distance,q75_distance,points_near_minimizers,spurious_points
2,7.223153316126287,16,1,11.11111111111111,0.03476304587366669,0.28381412581703,0.30772018800880185,0.3998655357343922,0.2838141258169827,0.3998655357343861,1,8
3,2.723989594085569,25,4,44.44444444444444,0.03357430978303807,0.10549031904288114,0.07795747940507167,0.14535879934193952,0.03357430978304419,0.10549031904288317,4,5
4,0.8250086074387677,36,4,44.44444444444444,0.031081934616187898,0.11797449470747146,0.08446067244905042,0.16392033474674184,0.03108193461619812,0.11797449470748476,4,5
5,0.2320747078051551,49,9,100.0,0.028665448754250283,0.04573486904868738,0.03950899960825974,0.05797972526253842,0.02866544875425787,0.04573486904869532,9,0
6,0.050888945618537566,36,9,100.0,0.0357008705036556,0.06392541137361644,0.05350683552228201,0.08305639219140887,0.035700870503664654,0.06392541137361908,9,0
7,0.012195344881834845,36,9,100.0,0.03494632127228102,0.07083462577531495,0.05744509534236565,0.09388206989086012,0.03494632127229142,0.07083462577531785,9,0
8,0.0020301784428132285,36,9,100.0,0.03501190609989127,0.0702489527100936,0.05711294825326353,0.09297309903936424,0.03501190609990393,0.07024895271010181,9,0
