theoretical_point_id,type,x1,x2,x3,x4,d3,d4,d5,d6,d7,d8,d9,d10
TP_001,saddle,0.507030772828217,-0.917350578608486,0.507030772828217,-0.917350578608486,0.4579144153232308,0.4237899165022898,0.42637502110339864,0.4338633179163854,0.43750080808554687,0.43718624352251173,0.43697060461276827,0.436990589257916
TP_002,saddle,0.507030772828217,-0.917350578608486,0.74115190368376,-0.741151903683748,0.33971664097227056,0.32130030304412316,0.3042674047301572,0.31235856232643955,0.3164022756891164,0.31605047751135557,0.31580952540152796,0.3158318486676721
TP_003,saddle,0.507030772828217,-0.917350578608486,0.917350578608475,-0.50703077282823,0.4579144153232442,0.42378991650229003,0.42637502110340303,0.433863317916398,0.43750080808552966,0.43718624352248914,0.4369706046127562,0.43699058925789236
TP_004,saddle,0.74115190368376,-0.741151903683748,0.507030772828217,-0.917350578608486,0.3397166409722425,0.32130030304413326,0.30426740473014174,0.31235856232641623,0.31640227568910684,0.31605047751134696,0.3158095254015034,0.3158318486676516
TP_005,min,0.74115190368376,-0.741151903683748,0.74115190368376,-0.741151903683748,0.14535879934193785,0.16392033474672846,0.057979725262521875,0.08305639219139832,0.09388206989085113,0.09297309903935341,0.09234718930759572,0.09240529295275807
TP_006,saddle,0.74115190368376,-0.741151903683748,0.917350578608475,-0.50703077282823,0.33971664097226056,0.3213003030441336,0.30426740473014796,0.31235856232643366,0.316402275689083,0.31605047751131576,0.31580952540148677,0.3158318486676188
TP_007,saddle,0.917350578608475,-0.50703077282823,0.507030772828217,-0.917350578608486,0.4579144153232026,0.4237899165023026,0.42637502110338205,0.4338633179163645,0.4375008080855159,0.43718624352247654,0.43697060461272114,0.43699058925786305
TP_008,saddle,0.917350578608475,-0.50703077282823,0.74115190368376,-0.741151903683748,0.33971664097223253,0.3213003030441401,0.3042674047301339,0.3123585623264105,0.3164022756890736,0.31605047751130694,0.3158095254014627,0.3158318486675988
TP_009,saddle,0.917350578608475,-0.50703077282823,0.917350578608475,-0.50703077282823,0.457914415323216,0.42378991650230285,0.42637502110338643,0.43386331791637706,0.4375008080854987,0.43718624352245405,0.4369706046127091,0.43699058925783935
AVERAGE,-,NaN,NaN,NaN,NaN,0.3706536693915375,0.349364579214716,0.3311721587329636,0.3408826570180692,0.3454993783321469,0.34510222035273447,0.3448297454849479,0.3448550049616455
