degree,total_computed,total_refined,avg_improvement
3,16,9,0.9999997603971669
4,25,9,0.9999998214832357
5,36,9,0.9999978100895093
6,25,9,0.9999999824111688
7,25,9,0.9999999796609915
8,25,9,0.9999999909213929
9,25,9,0.9999999857186425
10,25,9,0.9999999569894575
