subdomain,degree,point_type,n_theoretical,n_computed,n_matched,avg_f_theoretical,avg_f_computed,min_f_theoretical,min_f_computed,avg_relative_error,max_relative_error,median_relative_error
1111,6,saddle,3,4,3,0.37805971499305396,0.3920712494896126,0.28354478624479046,0.3046481235371961,0.04971902404142845,0.07442682185024169,0.0744268218502409
1111,6,min,1,4,1,6.1065722673158524e-27,0.04237874567995019,6.1065722673158524e-27,0.04237874567995019,0.04237874567995019,0.04237874567995019,0.04237874567995019
