degree,point_type,n_subdomains,n_matched_subdomains,total_theoretical,total_matched,avg_relative_error,max_relative_error,median_relative_error
3,min,9,4,9,4,0.04200873637439381,0.04200873637439451,0.04200873637439381
4,min,9,4,9,4,0.026266094904532612,0.026266094904533407,0.02626609490453266
6,saddle,9,8,40,16,0.2220481305242355,0.5775089480282044,0.13048227501366516
6,min,9,9,9,9,0.13747628830041203,0.327671373541345,0.1850250596106217
5,saddle,9,8,40,16,0.18034531754091468,0.36334122654254786,0.1578393976340059
5,min,9,9,9,9,0.07030398628873044,0.15095767117802694,0.09046740751102202
8,saddle,9,8,40,16,0.23992789917588508,0.7374902980699904,0.08836903739965911
8,min,9,9,9,9,0.16631690308858574,0.41989729061723186,0.22971199997069336
7,saddle,9,8,40,16,0.24216586887702768,0.7534848746170724,0.08460904089563742
7,min,9,9,9,9,0.16965333719018638,0.4290311168056762,0.23449778209402186
