config = (n = 2, d = (:one_d_for_all, 40), GN = 200, time_interval = [0.0, 1.0], p_true = [[1.0, 1.0]], ic = [100.0, 100.0], num_points = 100, sample_range = 0.2, distance = Main.DynamicalSystems.log_L2_norm, model_func = Main.DynamicalSystems.define_lotka_volterra_2D_model_v3, basis = :chebyshev, precision = RationalPrecision, my_eps = 0.02, fine_step = 0.002, coarse_step = 0.02, plot_range = StepRangeLen{Float64, Base.TwicePrecision{Float64}, Base.TwicePrecision{Float64}, Int64}[-0.22:0.002:0.22, -0.22:0.002:0.22], plot_range_coarse = StepRangeLen{Float64, Base.TwicePrecision{Float64}, Base.TwicePrecision{Float64}, Int64}[-0.22:0.02:0.22, -0.22:0.02:0.22], p_center = [1.05, 0.95])


Condition number of the Vandermonde system: 4.00000000000004
L2 norm (error of approximation): 0.5351622741250043
Polynomial system:
   Number of sols: 1521
   Bezout bound: [39, 39] which is 1521
Critical points found:
447×3 DataFrame
 Row │ x1        x2        z
     │ Float64   Float64   Float64
─────┼────────────────────────────────
 135 │ 1.07827   0.854294   2.65598
 136 │ 1.01429   0.851895   2.6767
 137 │ 0.972257  0.850654   2.68653
 138 │ 0.93793   0.849852   2.69225
 139 │ 0.893677  0.849765   2.68934
 140 │ 0.876585  0.850123   2.68395
 141 │ 0.863526  0.850734   2.67615
 142 │ 0.868698  0.850442   2.67979
 143 │ 0.885143  0.849917   2.68694
 144 │ 0.907543  0.849655   2.69174
 145 │ 0.913633  0.84964    2.69243
 146 │ 0.970448  0.850603   2.68694
 147 │ 0.856019  0.879357   2.33189
 148 │ 0.993566  0.851267   2.68173
 149 │ 1.01781   0.851998   2.67588
 150 │ 1.24955   0.799171   3.19544
 151 │ 1.10109   0.855033   2.64984
 152 │ 1.13749   0.854912   2.65442
 153 │ 1.21184   0.855624   2.65315
 154 │ 1.2244    0.855629   2.65421
 155 │ 1.24715   0.829824   2.92139
 156 │ 1.22903   0.829835   2.91989
 157 │ 1.21631   0.829669   2.92051
 158 │ 1.14846   0.829224   2.91957
 159 │ 1.10685   0.828669   2.9217
 160 │ 0.975161  0.82599    2.93723
 161 │ 0.938366  0.82516    2.94231
 162 │ 0.908931  0.824712   2.94432
 163 │ 0.876703  0.824745   2.94157
 164 │ 0.863507  0.825075   2.93743
 165 │ 0.854806  0.825654   2.93125
 166 │ 0.868636  0.824912   2.93937
 167 │ 0.885395  0.824663   2.94301
 168 │ 0.893784  0.824636   2.9439
 169 │ 0.913044  0.824753   2.94425
 170 │ 0.967527  0.825807   2.93839
 171 │ 0.857653  0.851465   2.66763
 172 │ 0.990445  0.826348   2.93498
 173 │ 1.13595   0.829189   2.91895
