config = (n = 2, d = (:one_d_for_all, 40), GN = 200, time_interval = [0.0, 1.0], p_true = [[1.0, 1.0]], ic = [100.0, 100.0], num_points = 100, sample_range = 0.2, distance = Main.DynamicalSystems.log_L2_norm, model_func = Main.DynamicalSystems.define_lotka_volterra_2D_model_v3, basis = :chebyshev, precision = RationalPrecision, my_eps = 0.02, fine_step = 0.002, coarse_step = 0.02, plot_range = StepRangeLen{Float64, Base.TwicePrecision{Float64}, Base.TwicePrecision{Float64}, Int64}[-0.22:0.002:0.22, -0.22:0.002:0.22], plot_range_coarse = StepRangeLen{Float64, Base.TwicePrecision{Float64}, Base.TwicePrecision{Float64}, Int64}[-0.22:0.02:0.22, -0.22:0.02:0.22], p_center = [1.05, 0.95])


Condition number of the Vandermonde system: 4.00000000000004
L2 norm (error of approximation): 0.5351622741250043
Polynomial system:
   Number of sols: 1521
   Bezout bound: [39, 39] which is 1521
Critical points found:
451×3 DataFrame
 Row │ x1        x2        z
     │ Float64   Float64   Float64
─────┼────────────────────────────────
 135 │ 1.18874   0.875692   2.41399
 136 │ 1.12886   0.875693   2.40787
 137 │ 1.10041   0.875772   2.40395
 138 │ 1.07032   0.875098   2.40942
 139 │ 0.852382  0.874846   2.39026
 140 │ 0.858777  0.873755   2.40483
 141 │ 0.937962  0.874995   2.39717
 142 │ 1.08788   0.875641   2.40433
 143 │ 1.11397   0.875815   2.4048
 144 │ 1.16723   0.875533   2.41381
 145 │ 1.14781   0.765357   3.45437
 146 │ 1.11765   0.765391   3.45236
 147 │ 1.0865    0.765419   3.45032
 148 │ 0.984756  0.765555   3.44335
 149 │ 1.05434   0.765436   3.44831
 150 │ 1.02097   0.765436   3.44635
 151 │ 0.914108  0.765824   3.43718
 152 │ 0.85063   0.783799   3.2949
 153 │ 0.887348  0.755645   3.51022
 154 │ 0.935421  0.755824   3.51167
 155 │ 0.977486  0.755603   3.51565
 156 │ 1.00571   0.755607   3.51722
 157 │ 1.03639   0.75561    3.51894
 158 │ 1.06805   0.755606   3.52076
 159 │ 1.09922   0.755597   3.52259
 160 │ 1.12862   0.755587   3.52433
 161 │ 0.85008   1.0563     1.0826
 162 │ 1.15536   0.755576   3.52592
 163 │ 1.17854   0.755566   3.5273
 164 │ 1.23794   0.765618   3.45771
 165 │ 1.23424   0.76562    3.45748
 166 │ 1.20082   0.765452   3.45677
 167 │ 1.24957   0.847558   2.74347
 168 │ 1.20875   0.84726    2.74316
 169 │ 1.1002    0.846674   2.74016
 170 │ 0.912139  0.847004   2.72063
 171 │ 0.890867  0.846427   2.72497
 172 │ 0.850121  0.846412   2.72164
 173 │ 0.888526  0.846348   2.7256
 174 │ 0.909704  0.846947   2.72104
 175 │ 0.937744  0.847383   2.71879
 176 │ 1.24228   0.787072   3.29362
 177 │ 1.19005   0.847142   2.74282
 178 │ 1.24956   0.821763   2.99736
