degree,avg_l2_norm,total_computed_points,minimizers_recovered,recovery_rate,min_distance,median_distance,mean_distance,max_distance,q25_distance,q75_distance,points_near_minimizers,spurious_points
2,7.231648441054032,16,1,11.11111111111111,0.034763045873666576,0.283814125817032,0.3077201880087929,0.3998655357343875,0.2838141258169526,0.3998655357343772,1,8
3,2.725164864624685,25,4,44.44444444444444,0.03357430978303837,0.1054903190428807,0.07795747940507157,0.1453587993419389,0.03357430978304422,0.1054903190428827,4,5
