subdomain,computed_points,has_minimizer,found_minimizer,min_distance,accuracy
0000,4,true,true,0.035011906099912185,100.0
0001,2,false,false,NaN,0.0
0010,2,true,true,0.07024895271010638,100.0
0011,4,true,true,0.03501190609990032,100.0
0100,2,false,false,NaN,0.0
0101,1,false,false,NaN,0.0
0110,1,false,false,NaN,0.0
0111,2,false,false,NaN,0.0
1000,2,true,true,0.07024895271009803,100.0
1001,1,false,false,NaN,0.0
1010,1,true,true,0.09297309903936424,100.0
1011,2,true,true,0.07024895271009361,100.0
1100,4,true,true,0.03501190609990392,100.0
1101,2,false,false,NaN,0.0
1110,2,true,true,0.07024895271010183,100.0
1111,4,true,true,0.03501190609989127,100.0
