degree,n_computed,min_distance,median_distance,mean_distance,max_distance,q1_distance,q3_distance,n_captured,capture_rate
2,16,0.03476304587366663,0.28381412581703,0.213354007764452,0.3998655357343922,0.03717138460228755,0.2839666868678485,9,36.0
3,25,0.03357430978303807,0.2729601542732789,0.22345419744412912,0.3845611230537914,0.10549031904288324,0.29070297376403453,4,16.0
4,36,0.031081934616187915,0.29087397801326853,0.23908987433331017,0.41018197853033306,0.11797449470748476,0.31234526701594695,4,16.0
5,49,0.02547516812718171,0.028665448754250273,0.0341417130435542,0.05797972526253842,0.02711726519573162,0.04478075888497138,25,100.0
6,36,0.027521129930829613,0.03570087050365563,0.04376486372575685,0.08305639219140881,0.03187447840662598,0.06186993161675323,25,100.0
7,36,0.029145041491490647,0.03494632127228102,0.046761579764731775,0.09388206989086012,0.03217669042961596,0.06950998665851646,25,100.0
8,36,0.029200304333112465,0.03501190609989127,0.04657395419204882,0.09297309903936424,0.032237333496227566,0.06890810880488184,25,100.0
