subdomain,computed_points,has_minimizer,found_minimizer,min_distance,accuracy
0000,4,true,true,0.03570087050367219,100.0
0001,2,false,false,NaN,0.0
0010,2,true,true,0.06392541137362025,100.0
0011,4,true,true,0.035700870503663565,100.0
0100,2,false,false,NaN,0.0
0101,1,false,false,NaN,0.0
0110,1,false,false,NaN,0.0
0111,2,false,false,NaN,0.0
1000,2,true,true,0.06392541137361908,100.0
1001,1,false,false,NaN,0.0
1010,1,true,true,0.08305639219140881,100.0
1011,2,true,true,0.06392541137361746,100.0
1100,4,true,true,0.035700870503664654,100.0
1101,2,false,false,NaN,0.0
1110,2,true,true,0.06392541137361644,100.0
1111,4,true,true,0.03570087050365563,100.0
