subdomain,computed_points,has_minimizer,found_minimizer,accuracy
0000,4,true,false,0.0
0001,2,false,false,0.0
0010,2,true,false,0.0
0011,4,true,false,0.0
0100,2,false,false,0.0
0101,1,false,false,0.0
0110,1,false,false,0.0
0111,2,false,false,0.0
1000,2,true,false,0.0
1001,1,false,false,0.0
1010,1,true,false,0.0
1011,2,true,false,0.0
1100,4,true,false,0.0
1101,2,false,false,0.0
1110,2,true,false,0.0
1111,4,true,false,0.0
