subdomain,computed_points,has_minimizer,found_minimizer,min_distance,accuracy
0000,1,true,false,0.3998655357343813,0.0
0001,1,false,false,NaN,0.0
0010,1,true,false,0.28381412581703,0.0
0011,1,true,false,0.3998655357343872,0.0
0100,1,false,false,NaN,0.0
0101,1,false,false,NaN,0.0
0110,1,false,false,NaN,0.0
0111,1,false,false,NaN,0.0
1000,1,true,false,0.2838141258169827,0.0
1001,1,false,false,NaN,0.0
1010,1,true,true,0.03476304587366674,100.0
1011,1,true,false,0.283814125816974,0.0
1100,1,true,false,0.39986553573438616,0.0
1101,1,false,false,NaN,0.0
1110,1,true,false,0.2838141258170166,0.0
1111,1,true,false,0.3998655357343922,0.0
